NOME-INSTITUICAO-EMPRESA,QUANTIDADE
ESTOMATOLOGIA CURITIBA,1
REDE SARAH DE HOSPITAIS DO APARELHO LOCOMOTOR,1
GRATON ARQUITETURA,1
SECRETARIA MUNICIPAL DE SAUDE - JOAO PESSOA,1
"ENESCO ENERGIA, SAUDE E CORRELATOS EIRELI",1
ROQUE CARRAZZA ADVOGADOS ASSOCIADOS,1
HOSPITAL E MATERNIDADE SANTA CASA DE MARINGA,1
FUNDACAO UNIVERSIDADE DO OESTE DE SANTA CATARINA,1
INSTITUTO DO MEIO AMBIENTE DE DOURADOS,1
FACULDADE AMERICA,1
MARTA LEITE DA SILVA NASCIMENTO,1
UNIVERSIDADE FEDERAL DA BAHIA ESCOLA POLITECNICA,1
ESCOLA ESTADUAL DOUTOR GARCIA DE LIMA,1
VIVAMONDO ASSESSORIA E NEGOCIOS,1
PROCURADORIA GERAL DO ESTADO DO ESPIRITO SANTO,1
TRIBUNAL REGIONAL DO TRABALHO - IX REGIAO,1
PREFEITURA MUNICIPAL DE COLORADO DO OESTE,1
DEPARTAMENTO DE ESTATISTICA,1
CENTRO DE ESTUDOS RONALDO MENDES,1
RIBEIRAO PRETO MEDICAL SCHOOL,1
O EDITORIAL,1
DIRETORIA REGIONAL DA FIOCRUZ EM BRASILIA.,1
HORIUTI SOARES ODONTOLOGIA,1
INTERMUNDO CONSULTORIA AMBIENTAL LTDA,1
EDITORA JORNAL DO COMMERCIO S.A,1
CENTRO DE ONCOLOGIA CLINICA ERECHIM LTDA,1
ENGENEERING SIMULATION AND SCIENTIFIC SOFTWARE,1
NUCLEO INTERDISCIPLINAR DE POS-GRADUACAO DA FACIPE,1
FUNDACAO DE ENSINO E PESQUISA DO SUL DE MINAS GERAIS,1
SEDUC/AM,1
HOSPITAL DAS CLINICAS DA UFPE,1
CLINICA PROF. DR. DANIEL FALBO LTDA,1
E.E LEONIDAS DO AMARAL VIEIRA,1
BROAD INSTITUTE,1
UNA ITABIRA,1
SECRETARIA DE ESTADO DE FAZENDA DE MINAS GERAIS,1
UNIVERSIDADE METODISTA DE ANGOLA,1
SINDICATO DOS MUNICIPARIOS DE SAO BORJA,1
MINISTERIO DO TRABALHO,1
CENTRO UNIVERSITARIO BRASILIA DE MINAS,1
UNIVERSIDADE FEDERAL FLUMINENSE - RIO DAS OSTRAS,1
HOSPITAL E MATERNIDADE SANTA MARIA,1
INSTITUTO BICHO D'AGUA: CONSERVACAO SOCIOAMBIENTAL,1
NEXTONE TECNOLOGIA EM CERAMICA E VIDRO,1
INSTITUTO BIOETHICUS,1
HOSPITAL MATERNO-INFANTIL DR. JOAQUIM SAMPAIO,1
ESTADO-MAIOR DA AERONAUTICA,1
TISSUELABS PESQUISA E DESENVOLVIMENTO LTDA,1
PREFEITURA MUNICIPAL DE AMARGOSA,1
UNESC,1
CIA LATINO AMERICANA DE MEDICAMENTOS,1
"SECRETARIA DE ESTADO DE DESENVOLVIMENTO, INDUSTRIA E COMERCIO DO MARANHAO",1
FACULDADE HUB,1
RIO DE JANEIRO,1
INSTITUTO FEDERAL DO NORTE DE MINAS - CAMPUS ARINOS,1
DEFENSORIA PUBLICA DO ESTADO DE MINAS GERAIS,1
INSTITUTO FEDERAL DO MARANHAO - CAMPUS PRESIDENTE DUTRA,1
DIVISAO DE CLINICA GINECOLOGICA DO HOSPITAL DA CLINICAS DA FACULDADE DE MED,1
CONNECT AMBIENTE DE INOVACAO,1
UNIVERSIDADE SAO FRANCISCO-USF,1
AGENCIA G/GORETTI PUBLICIDADE & PROPAGANDA,1
UNIVERSIDADE FEDERAL DE GOIAS - REGIONAL GOIAS - UAECSA,1
SECRETARIA DO ESTADO DO PARANA EDUCACAO,1
HINTERLANG DE BARROS & DETZEL ADVOGADOS ASSOCIADOS,1
CENTRO UNIVERSITARIO UNILASALLE LUCAS DO RIO VERDE,1
ADDLABS/ILTC,1
NEW YORK UNIVERSITY ABU DHABI,1
FACULDADE DE TECNOLOGIA - SAO JOSE DOS CAMPOS,1
SUPERINTENDENCIA REGIONAL DE EDUCACAO DE CARAPINA,1
COLEGIO ESTADUAL RAYMUNDO DE ALMEIDA GOUVEIA,1
SECRETARIA DE RELACOES INSTITUCIONAIS - GOVERNO FEDERAL,1
ESCOLA DE REFERENCIA EM ENSINO MEDIO JARINA MAIA,1
SECRETARIA MUNICIPAL DA EDUCACAO DE VITORIA DA CONQUISTA,1
INSTITUTO DE QUIMICA-UFRJ,1
INFOLAUDO,1
COLEGIO EMILIE DE VILLENEUVE,1
BIOAMAZON - BIOTECH & INNOVATION,1
PROCURADORIA REGIONAL FEDERAL DA 4 REGIAO,1
FORUM DO CAMPO LACANIANO - CURITIBA,1
UNIVERSIDADE FEDERAL DE SAO PAULO (CAMPUS BAIXADA SANTISTA),1
COMISSAO DE CONTROLE DE INFECCAO,1
INSTITUTO FEDERAL DO PARANA - CAMPUS CAPANEMA(PR),1
CENTRO DE OLHOS SAO FRANCISCO,1
INSTITUTO IEDA PICON,1
ESSENZA MEDICINA,1
HOSPITAL DAS CLINICAS DA UFPR,1
MULTIVIX SERRA ? ENSINO PESQUISA EXTENSAO LTDA,1
ESCOLA SUPERIOR LUIZ DE QUEIROZ,1
MOHAWK BRASIL,1
ESCRITORIO TECNICO DA FIOCRUZ NO CEARA,1
UNIVERSIDADE TECNICA DE BERLIM,1
INSTITUTO DO CARSTE,1
ACOS BOHLER-UDDEHOLM DO BRASIL LTDA.,1
"UNIVERSIDADE FEDERAL DE SANTA CATARINA, CENTRO DE CIENCIAS BIOLOGICAS (CCB)",1
SKIN CENTER CIRURGIA PLASTICA E DERMATOLOGIA,1
UNIVERSIDADE FEDERAL DO PIAUI/CAMPUS PROF. CINOBELINA ELVAS,1
CISNE FACULDADE DE QUIXADA,1
CHIUSOLI E CONSULTORES ASSOCIADOS S/S LTDA,1
INSTITUTO CARLOS CHAGAS  FIOCRUZ,1
"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA CATARINENSE CAMPUS VIDE",1
SECRETARIA MUNICIPAL DE HABITACAO DA PREFEITURA DE SAO PAULO,1
URI ? CAMPUS DE FREDERICO WESTPHALEN,1
CLINICA NEPHRON- SERVICOS MEDICOS E DE HEMODIALISE DE VITORIA DA CONQUISTA-,1
HOSPITAL DE CLINICAS DA FACULDADE DE MEDICINA DA USP,1
AYA SAUDE EDUCACAO E SERVICOS LTDA,1
UNIVERSIDAD FEDERAL DE MINAS GERAIS,1
FUOM,1
FACULDADE DE CIENCIAS DA UNIVERSIDADE DO PORTO,1
ANGLO AMERICAN NIQUEL,1
ILES ULBRA ITUMBIARA,1
UNIVERSIDADE FEDERAL FLUMINENSE -CAMPOS DOS GOYTACAZES,1
EXCELENCIA AMBIENTAL - ENGENHARIA E ANALISES TECNICAS LTDA,1
COMISSAO DE VALORES MOBILIARIOS - RIO DE JANEIRO,1
ADVOCACIA GERAL DA UNIAO - PGF,1
"UNIVERSIDADE FEDERAL DA PARAIBA, CENTRO DE CIENCIAS APLICADAS E EDUCACAO -",1
INSTITUTO INTEGRADO DE PSICOLOGIA DE BRAGANCA PAULISTA,1
CLINICA CENTER CORDIS,1
COLEGIO ESTADUAL PROFESSORA ALCINA RODRIGUES LIMA,1
FACULDADE DE CIENCIAS FARMACEUTICAS-USP,1
FAGNER OLIVEIRA & OLIVEIRA ADVOGADOS,1
FACULDADE METROPOLITANA DA GRANDE RECIFE,1
AMTEC BIOAGRICOLA,1
DIREITO GV - FGV/SP,1
UNIVERSIDADE DE RONDONIA,1
CARDIUS SERVICOS MEDICOS E HOSPITALARES LTDA,1
INSTITUTO DE NEUROCIRURGIA MINIMAMENTE INVASIVA,1
"FACULTAD DE INFORMACION Y COMUNICACION, UDELAR",1
UFMA - CAMPUS BALSAS,1
CENTER FOR SUBSURFACE ENERGY AND THE ENVIRONMENT,1
SOLOS ARQUEOLOGIA E MEIO AMBIENTE,1
TECMED ASSESSORIA E RADIOPROTECAO LTDA,1
HOSPITAL GERAL PRADO VALADARES,1
PERIODONTIA ESPECIALIZADA,1
DEPARTAMENTO DE ANALISE,1
INSTITUTO GONCALO MONIZ-FIOCRUZ,1
CENTRO DE PESQUISA LEONIDAS E MARIA DEANE - FIOCRUZ,1
SECRETARIA DE ESTADO DO MEIO AMBIENTE E RECURSOS NATURAIS - MARANHAO,1
UNIVERSIDADE DO ESTADO DA BAHIA - DEPARTAMENTO DE EDUCACAO - CAMPUS X,1
CENTRO UNIVERSITARIO METODISTA IPA,1
UNIVERSIDADE ESTADUAL DE SANTA CRUZ - UESC,1
DEFENSORIA PUBLICA-GERAL DA UNIAO,1
FACULDADE SOCORRO SOARES (FASS),1
LABORATORIO AMARAL COSTA,1
UNIVERSITA&#768; DEGLI STUDI DI NAPOLI FEDERICO II,1
INSTITUTO DE GINECOLOGIA/UFRJ,1
ESCOLA ESTADUAL JOSE LEITE DE MORAES,1
INSTITUTO CAUSAMBIENTALIS,1
ALJAVA BIOTECH,1
CEAMAZON - UFPA,1
SECRETARIA MUNICIPALDE SAUDE DE MILAGRES,1
WAGNER MIRANDA SOCIEDADE DE ADVOGADOS,1
BORILLI RACING,1
HOSPITAL SANTA RITA DE MARINGA,1
"UNIVERSIDADE FEDERAL DE VICOSA, DEPARTAMENTO DE EDUCACAO FISICA",1
EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA - CNPSO,1
REIS MUNDIM SOCIEDADE DE ADVOGADOS,1
UNIVERSITY OF CALIFORNIA AT BERKELEY,1
"UNIVERSIDADE DE SAO PAULO, DEPTO. DE ECOLOGIA",1
MUSEU DE ARTE DE SAO PAULO,1
ESCOLA DE DIREITO DE SAO PAULO DA FUNDACAO GETULIO VARGAS - FGV DIREITO SP,1
HOSPITAL NAPOLEAO LAUREANO,1
ACAO ECOLOGICA GUAPORE,1
ESCOLA ESTADUAL 19 DE JULHO,1
UNIVERSIDADE  DO NOROESTE DO ESTADO DO RIO GRANDE DO SUL,1
UFMT ARAGUAIA,1
AQUARIO MARINHO DO RIO DE JANEIRO,1
DR & G UROLOGISTAS ASSOCIADOS,1
VITEXBI,1
CLINICA MARY CARE,1
DIRETORIA DE PROJETOS DE ENGENHARIA DO EXERCITO BRASILEIRO,1
INSTITUTO DOMINGO BRAILE,1
CENTRO DE INVESTIGACAO EM TECNOLOGIAS E SERVICOS DE SAUDE,1
INSTITUTO FEDERAL SUL-RIO-GRANDENSE - CAMPUS CHARQUEADAS,1
ETEC PROFESSOR MILTON GAZZETTI,1
UMPIERRE & GOERCH ADVOCACIA,1
SIMCOR INCORPORACOES IMOBILIARIAS LTDA,1
COLEGIO UNIVERSITARIO,1
FELSBERG E ASSOCIADOS,1
CASA DA AIDS DA FACULDADE DE MEDICINA DA UNIVERSIDADE DE SAO PAULO - FMUSP,1
CENTRO UNIVERSITARIO - FSG,1
"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA FARROUPILHA/RS",1
MARTINI & GARCIA ODONTOLOGIA ESP. LTDA.,1
PROJETO ONCAS DO IGUACU,1
"ARRUDA ALVIM, ARAGAO, LINS E SATO - ADVOGADOS",1
LIGA PARANAENSE DE COMBATE AO CANCER HOSPITAL ERASTO GAERTNER,1
HOSPITAL DA CLINICAS FMUSP,1
ODONTO FLEX SERVICOS ODONTOLOGICOS LTDA,1
EMBRAPA SOLOS / UEP,1
FACULDADE DE TECNOLOGIA  BRAGANCA PAULISTA,1
CANCER INSTITUTE OF NEW JERSEY,1
LABORATORIO DE PESQUISA EM CIENCIAS DA SAUDE,1
TPV TECHNOLOGY,1
AGENCIA PAULISTA DE TECNOLOGIA DOS AGRONEGOCIOS DO CENTRO OESTE PAULISTA,1
SECRETARIA DE ESTADO DE ADMINISTRACAO PENITENCIARIA,1
ST JUDE CHILDREN'S RESEARCH HOSPITAL,1
CAMPUS UNIVERSITARIO DO TOCANTINS/CAMETA,1
ESCOLA ESTADUAL ALPHONSUS DE GUIMARAENS,1
KARINA NAMORATO REABILITACAO ORAL E ESTETICA,1
ESCOLA ESTADUAL JOAO BERNARDI,1
FUNDACAO SAO JOAO BATISTA / FAACZ - FACULDADES INTEGRADAS DE ARACRUZ,1
UNIVERSIDADE DE CONNECTICUT,1
CENTRE MULTIDISCIPLINAIRE DE DEVELOPPEMENT DU GENIE TISSULAIRE (CMDGT),1
ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE FRANCA,1
EE. PROF. BENEDITA NAIR XAVIER VEDOVELLO,1
MAX PLANK INSTITUTE FOR CHEMICAL ECOLOGY,1
DR PEDRO BREDA ESTETICA OROFACIAL,1
NEUROLIFE,1
EEEFM PRF M DA CONCEICAO MALHEIRO,1
ABO AKADEMI UNIVERSITY,1
VET ANALISES DIAGNOSTICO VETERINARIO,1
SERVICO SOCIAL DO COMERCIO SAO PAULO,1
WASHINGTON UNIVERSITY SCHOOL OF MEDICINE,1
FUNDACAO DE BENEFICENCIA HOSPITAL DE CIRURGIA,1
UNIMED SOROCABA,1
GOLD COAST UNIVERSITY HOSPITAL,1
SAVEDRA & DANILLE SOCIEDADE DE ADVOGADOS,1
INSTITUTO EDUCACIONLA ATHENA,1
FACULDADE DA REGIAO DOS LAGOS,1
HUMBERTO BEZERRA ADVOGADOS,1
"UNIVERSIDADE ESTADUAL PAULISTA, CAMPUS BAURU",1
IRMANDADE DA SANTA CASA DE MISERICORDIA DE SANTOS,1
CENTRO DE POS-GRADUACAO EM ODONTOLOGIA E CLINICA ODONTOLOGICA,1
FACULDADE DE TECNOLOGIA DO NORDESTE,1
CIMI REGIONAL SUL,1
NUCLEO INTERDISCIPLINAR DE INVESTIGACAO SOCIOAMBIENTAL,1
INSTITUTO DE ESTUDOS COMPARADOS EM ADMINISTRACAO DE CONFLITOS,1
INSTITUTO DO CANCER DO ESTADO DE SAO PAULO - FACULDADE DE MEDICINA DA USP,1
FACULDADES FATIFAJAR,1
UNITY CENTRO INTEGRADO DE SAUDE,1
"UNIVERSITY OF MARYLAND, BALTIMORE COUNTY",1
INSTITUTO DE OLHOS SANTA LUZIA,1
"UNIVERSIDADE FEDERAL DE ALAGOAS, CAMPUS ARAPIRACA",1
UNIVERSIDAD REY JUAN CARLOS,1
FUNDACAO TIDE AZEVEDO SETUBAL,1
LABORATORIO DE ANALISE DE MOVIMENTO,1
UNIVERSIDADE CANDIDO MENDES,1
FISIOCLIN,1
CENTRO DE CIENCIAS DA CONSERVACAO E SUSTENTABILIDADE DO RIO DE JANEIRO,1
INSTITUTO DE ENSINO SUPERIOR DO AMAPA,1
"ESCOLA DE ARTES, CIENCIAS E HUMANIDADES - USP",1
ESCOLA ESTADUAL WALDEMIR BARROS DA SILVA,1
A CASA TOMBADA,1
CLINICA BITENCOURT,1
ASPEN PHARMA,1
CENTRO FEDERAL DE EDUCACAO TECNOLOGICA DO ESPIRITO SANTO,1
PAGANELLI & ORNELLAS ADVOGADOS,1
"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO NORTE DE MINAS GERAI",1
UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO,1
PROCURADORIA DA REPUBLICA NO ESTADO DO RIO DE JANEIRO,1
MAX PLANCK INSTITUTE FOR INNOVATION AND COMPETITION,1
LAUREATE INTERNATIONAL UNIVERSITIES,1
ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL  PROFESSOR JOAO BANDEIRA,1
MUSEU NACIONAL/ UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,1
SUPREMA FACULDADE DE CIENCIAS MEDICAS DE TRES RIOS,1
"GERENCIA DE INOVACAO, ENSINO E PESQUISA",1
INSTITUTO TECNOLOGICO SIMEPAR,1
ATELIER 21,1
CENTRO UNIVERSITARIO FUNDACAO ARMANDO ALVARES PENTEADO,1
"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO SUL DE MINAS GERAIS.",1
CLINICA MARISTELA LOBO,1
UFRN - POS-GRADUACAO EM ARQUITETURA E URBANISMO,1
STEM TECNOLOGIA E INOVACAO,1
IT UNIVERSITY OF COPENHAGEN,1
PHP BIOTECH S.A,1
FACULDADE DE MEDICINA DE RIBEIRAO PRETO U S P,1
CLINICA PRO-MULHER,1
"UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO, INSTITUTO DE BIOLOGIA ROBERTO ALC",1
PREFEITURA MUNICIPAL DE SAO MANUEL,1
"AVIAGEN, INC",1
UNIVERSIDADE ESTADUAL DE MARINGA / PR,1
CAPGEMINI,1
ESCOLA MUNICIPAL NOVA NAZARE,1
MITRA ARQUIDIOCESANA DE BRASILIA,1
FACULDADE DE TECNOLOGIA DE LINS,1
DEPARTAMENTO DE AGRONOMIA,1
ESCRIBO INOVACAO PARA O APRENDIZADO,1
PREFEITURA MUNICIPAL DE RIO VERDE/GO,1
CENTRO UNIVERSITARIO BARAO DE MAUA - RIBEIRAO PRETO,1
COLEGIO TECNICO DE FLORIANO,1
BOSTON UNIVERSITY,1
FACULDADE DE ENGENHARIA DE GUARATINGUETA / UNESP,1
CLINICA DE ORTOPEDIA E PEDIATRIA LTDA,1
ACT PROMOCAO DA SAUDE,1
CENTRO TERRITORIAL DE EDUCACAO PROFISSIONAL SERTAO PRODUTIVO,1
CEJA ADELINO ALCANTARA FILHO,1
MUSEU DA EDUCACAO DO DISTRITO FEDERAL (UNB/SEEDF),1
INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA,1
PREFEITURA MUNICIPAL DE QUIEMADOS,1
BIBLIOTECA PUBLICA MUNICIPAL DE CRAVINHOS,1
CANAN E POLETTO ADVOCACIA,1
INSTITUTO FEDERAL DE EDUCACAO CIENCIAS E TECNOLOGIA BAIANO,1
"SECRETARIA DE ESTADO DA AGRICULTURA, PECUARIA E IRRIGACAO",1
UNIVERSIDADE FEDERAL DE UBERLANDIA- CAMPUS DE MONTE CARMELO,1
ESCOLA ESTADUAL MARINHO SILVA,1
ANGELA NATEL,1
SECRETARIA MUNICIPAL DA EDUCACAO DE ARACATUBA - SP,1
SECRETARIA MUNICIPAL DE EDUCACAO DE URUANA,1
CENTRO DE CAPACITACAO E PESQUISA EM MEIO AMBIENTE,1
FACULDADE DE TECNOLOGIA PROF. JESSEN VIDAL,1
FACULDADE DE TECNOLOGIA DE PINDAMONHANGABA,1
CONSULTORIO MEDICO D.O.C,1
LATIN AMERICAN COOPERATIVE ONCOLOGY GROUP,1
DR. LUZIELIO FILHO - SERVICOS MEDICOS,1
UNIVERSIDADE AUGUSTO MOTA,1
CLINICA ATIVA ACAO,1
CENTRO TECNOLOGICO DE SERGIPE,1
GUSMAO ENGENHEIROS ASSOCIADOS - GEOENGENHARIA,1
UNIVERSIDADE FEDERAL DE SANTA CATARINA / LABORATORIO DE POLIMEROS,1
SYMMETRIC - CONSULTORIA E SERVICOS DE PSICOLOGIA,1
HOSPITAL CENTRO MEDICO DE CAMPINAS,1
MARQUES EYE INSTITUTE OFTALMOLOGIA,1
COMISSAO NACIONAL DE ENERGIA NUCLEAR EM SAO PAULO,1
SECRETARIA MUNICIPAL DE SAUDE DE JOAO PESSOA (PB),1
LYON COLLEGE,1
CENTRO DE PESQUISA E DESENVOLVIMENTO INFANTIL,1
CENTRUM PUCP BUSINESS SCHOOL,1
CLINICA DE OIHOS MINAS VISAO,1
FACULDA DE MEDICINA DE RIBEIRAO PRETO,1
IF GOIANO - CAMPUS CERES,1
CENTRO DE REABILITACAO E ESTUDO ODONTO-MEDICO,1
INSTITUTO MUSICA BRASILIS,1
ETEC DEPUTADO ARY DE CAMARGO PEDROSO - CENTRO PAULA SOUZA,1
PREFEITURA MUNICIPAL DE FRUTAL,1
FACULDADE DE CIENCIAS FARMACEUTICAS DA UNESP,1
CENTRO UNIVERSIRTARIO DO PARA,1
FUNDO MUNICIPAL DE SAUDE DE ESTANCIA,1
HOSPITAL GERAL DR. CESAR CALS DE OLIVEIRA -,1
"M3 HEALTH IND. COM. DE PROD. MED., ODONT. E CORRELATOS SA.",1
SITIO PURISSIMA CONCEICAO,1
INSTITUTO DE NEUROLOGIA DE GOIANIA,1
UNIVERSIDADE CENTRAL DE EDUCACAO FAEM FACULDADE,1
UFMA,1
UNIVERSITY OF LEUVEN,1
EDUCANDARIO RAIO DE LUZ,1
UNIDADE DE ENSINO DO CARAJAS,1
ESPACO HOLOS,1
AQUARIO MUNICIPAL DE SANTOS,1
FACULDADE DE ENFERMAGEM DE ARCOVERDE,1
"UNIVERSIDADE FEDERAL DA PARAIBA, CENTRO DE TECNOLOGIA - CAMPUS I.",1
INSTITUTO CARLOS CHAGAS - FIOCRUZ PRANA,1
KPH ADMINISTRACAO DE IMOVEIS,1
COMANDO-GERAL DO CORPO DE FUZILEIROS NAVAIS,1
"FACULDADE DE MEDICINA, UNIVERSIDADE DE SAO PAULO",1
INSTITUTO DE CIENCIAS MATEMATICAS E COMPUTACAO USP/S.CARLOS (SP),1
INSTITUTO ANTONY BARBOSA,1
CENTRO UNIVERSITARIO BRAZCUBAS,1
BENEDETTO PROJETOS EMPRESARIAIS LTDA,1
FACULDADE DE MINAS,1
ADVOCACIA GUGLIANO HERANI,1
UNIVERSIDADE ESTADUAL PAULISTA - FACULDADE DE ENGENHARIA DE ILHA SOLTEIRA,1
CLINICA ORGANIC,1
FERROAMP,1
CENTRO UNIVERSITARIO DO PLANALTO CENTRAL DF,1
SECRETRIA MUNICIPAL DE SAUDE DE TRES LAGOAS,1
SANTO AGOSTINHO HOSPITAL VETERINARIO,1
EMEF GOV. LEONEL DE MOURA BRIZOLA,1
CENTRO INTEGRADO DE PESQUISA,1
CENTRO INFANTIL BOLDRINI,1
PREFEITURA MUNICIPAL DE JAU,1
PREFEITURA MUNICIPAL IPIRANGA DO SUL,1
CENTRO DE POLITICAS PUBLICAS E AVALIACAO DA EDUCACAO - CAED-UFJF,1
PREFEITURA DE SAO LUIS,1
CLINICA MEDICA SALVADOR DALI,1
UNIVERSITY OF VERMONT,1
ESCOLA ESTADUAL PROFESSORA ALZIRA MARIA DA SILVA,1
PREFEITURA MUNICIPAL DE SOLEDADE/RS NA SECRETARIA MUNICIPAL DE EDUCACAO C,1
ESCOLA ESTADUAL DE E. F. E M. PROF. BERNARDINO PERREIRA DE BARROS,1
LABORATORIO DE TRANSPORTES E LOGISTICA/UFSC,1
INTITUTO FEDERAL DE ALAGOAS,1
HOSPITAL MATERNIDADE TEREZINHA DE JESUS,1
TEL AVIV UNIVERSITY,1
FELIPE MARTINS PINTO SOCIEDADE DE ADVOGADOS,1
"UNIVERSIDADE DE SAO PAULO, ESCOLA DE COMUNICACAO E ARTES",1
NESTLE BRASIL LTDA.,1
DEPARTAMENTO DE ENGANHARIA DE MATERIAIS - UFSCAR,1
INSTITUTO FEDERAL DO MARANHAO - CAMPUS BACABAL,1
INSTITUTO FEDERAL DO NORTE DE MINAS GERAIS - CAMPUS ARINOS,1
EMPRESA DE DESENVOLVIMENTO URBANO E HABITACIONAL - EMHUR,1
RODRIGO PEREIRA REABILITACAO ORAL - CLINICA ODONTOLOGICA,1
FUNDACAO CULTURAL DE PALMAS,1
ESCOLA NACIONAL DA MAGISTRATURA,1
ESCOLA SUPERIOR DE CIENCIAS DA SAUDE DA SANTA CASA DE MISERICORDIA DE VITOR,1
SAMU REGIONAL DE ASSIS,1
HOSPITAL DAS CLINICAS DE FACULDADE DE MEDICINA DA UNIVERSIDADE DE SAO PAULO,1
PREFEITURA MUNICIPAL DA CIDADE DO RECIFE,1
IFES SANTA TERESA,1
FUNDACAO TECNICA EDUCACIONAL SOUZA MARQUES,1
CALIFORNIA ACADEMY OF SCIENCES,1
BUREAU ARQUITETURA,1
"JUNQUEIRA DE CARVALHO, MURGEL & BRITO CONSULTORES",1
INSTITUTO TEOLOGICO PIO XI,1
CLINICA FEMME LTDA,1
UNIVERSIDAD ADOLFO IBANEZ,1
FACULDADE DE SAUDE PUBLICA DE UNIVERSIDADE DE SAO PAULO,1
FOUR PAWS INTERNATIONAL,1
ADAPEC - PORTO NACIONAL,1
UNIVERSIDAD ECOTEC,1
KENNY OLIVEIRA ADVOCACIA,1
COLEGIO SINODAL PRADO,1
INSTITUTO SENAI DE TECNOLOGIA COURO E MEIO AMBIENTE,1
INSTITUTO SUPERIOR DE CIENCIAS DA EDUCACAO DA JUILA,1
LABORATORIO DE RADIOISOTOPOS - UFRJ,1
SOFTIUM INFORMATICA,1
AHMADU BELLO UNIVERSITY,1
SECRETARIA DE ESTADO DA EDUCACAO DA CULTURA DO ESPORTE E DO LAZER,1
COLEGIO VISAO - SANTA M DA B. VISTA,1
ADVANCED MATERIALS AND SURFACES,1
UNIVERSIDADE FEDERAL DE PERNAMUCO,1
HOSPITAL CENTRAL DA BEIRA,1
UNIVERSIDAD INTERAMERICANA DE PANAMA,1
ESCOLA ESTADUAL DE ENSINO FUNDAMENTAL CANDIDO PORTINARI,1
HOSPITAL DA POLICIA MILITAR DO PARANA.,1
PLURAL CONSULTORIA EM PLANEJAMENTO TERRITORIAL,1
INSTITUTO FEDERAL DO MARANHAO - IFMA - CAMPUS IMPERATRIZ,1
CONSULTORIO PARTICULAR CIRURGIA PLASTICA,1
GRAN CENTRO UNIVERSITARIO,1
EMPRESA BRASILEIRA DE PESQUSA AGROPECUARIA-EMBRAPA,1
CENTRO UNIVERSITARIO TERESA D' AVILA,1
UNIBRAS - FACULDADE SANTA INES,1
MS ENSINO MUSICAL,1
"UNIVERSIDADE DE SAO PAULO, FACULDADE DE MEDICINA DE RIBEIRAO PRETO.",1
PLANEJAMENTO ESTRATEGICO,1
REVVITY,1
KLESIS CONSULTING,1
SECRETARIA EXECUTIVA REGIONAL II,1
LABORATORIO C.A.P.C.,1
JUSTICA FEDERAL DE PRIMEIRO GRAU NO PARANA,1
FEKSA CONSULTORIA,1
INSTITUTO FEDERAL DE MATO GROSSO - CAMPUS ALTA FLORESTA,1
SECRETARIA DE EDUCACAO E CULTURA DO MUNICIPIO DE JOAO PESSOA,1
CENTRO NACIONAL DE RECURSOS GENETICOS E BIOTECNOLOGIA - EMBRAPA,1
FUNDACAO EDUCACIONAL DE ITUIUTABA- UNIVERSIDADE ESTADUAL DE MINAS GERAIS,1
CONSULTORIO DR. THIAGO HOLANDA,1
HOSPITAL SAO CAMILO - CRATO,1
PREFEITURA MUNICIPAL DE PIMENTA BUENO,1
ESCOLA ESTADUAL ANTONIO LUIS BASTOS,1
DEPARTAMENTO ADMINISTRATIVO,1
VB ALIMENTOS INDUSTRIA E COMERCIO LTDA,1
EEM YVONNE OLINGER APPEL,1
"BARROSO FONTELLES, BARCELLOS, MENDONCA & ASSOCIADO",1
EM NORMANDIE BUSINESS SCHOOL,1
"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA SUL-RIO-GRANDENSE.",1
FACULDADE DE TECNOLOGIA E CIENCIAS - FSA,1
CENTRO REGIONAL DE CONTROLE DO ESPACO AEREO SUDESTE,1
UNIVESIDADE DE SAO PAULO - RIBEIRAO PRETO,1
"UNIVERSIDADE ESTADUAL DA PARAIBA, CAMPUS IV, CATOLE DO ROCHA",1
ESCOLA JUDICIAL DO TRIBUNAL REGIONAL DO TRABALHO DA 1 REGIAO,1
GALVES E BALAN ADVOCACIA E ASSESSORIA JURIDICA,1
R LA EM CASA,1
SECRETARIA DE EDUCACAO - SOROCABA,1
CENTRO UNIVERSITARIO LA SALLE/RJ,1
CONSULTORIO ODONTOLOGICO - ARRUDA ODONTOLOGIA,1
VIA 18,1
UNIVERSIDADE JOSE DO ROSARIO VELANO,1
PREFEITURA MUNICIPAL DE PRADOPOLIS,1
CENTRO UNIVERSITARIO FIP MOC,1
IONA,1
